"id"	"parent"	"name"	"POIconv"	"mass"	"Cx"	"Cy"	"Cz"	"Ixx"	"Iyy"	"Izz"	"Ixy"	"Ixz"	"Iyz"	"Ipoint"	"sigma_mass"	"sigma_Cx"	"sigma_Cy"	"sigma_Cz"	"sigma_Ixx"	"sigma_Iyy"	"sigma_Izz"	"sigma_Ixy"	"sigma_Ixz"	"sigma_Iyz"
"C.1"	NA	"System 1"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1"	"C.1"	"Segment 1"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.2"	"C.1"	"Segment 2"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1.1"	"C.1.1"	"Element 1"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1.2"	"C.1.1"	"Element 2"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1.3"	"C.1.1"	"Element 3"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1.4"	"C.1.1"	"Element 4"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.2.1"	"C.1.2"	"Element 5"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.2.2"	"C.1.2"	"Element 6"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.2.3"	"C.1.2"	"Element 7"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C.1.1.1.1"	"C.1.1.1"	"Subsystem 1"	"-"	24.1827584303201	12.7664845070976	-7.33521243876906	4.25063330363471	151242.290612754	151681.439478395	140003.007229201	-9285.98126973321	11631.0816003715	-3665.04870824325	FALSE	2.00377872522265	6.71223764331936	6.83524201771795	7.05080865006599	26174.5823782939	25990.7093429332	24135.2605993766	11648.8802649171	12377.8633308676	12340.520923051
"C.1.1.1.2"	"C.1.1.1"	"Subsystem 2"	"-"	21.0534869896481	-13.278244712436	15.7452897577185	0.49965856589574	163041.130259192	143884.885357074	154262.950249695	14334.2017923855	1519.83286770808	-4317.23007860859	FALSE	1.80618173461854	7.24618585272687	7.63646182821853	7.96772631674887	27902.8386989279	26001.0650978797	24651.8644773092	11579.897800229	12231.335670426	12825.0275336518
