"id"	"parent"	"name"	"POIconv"	"mass"	"Cx"	"Cy"	"Cz"	"Ixx"	"Iyy"	"Izz"	"Ixy"	"Ixz"	"Iyz"	"Ipoint"	"sigma_mass"	"sigma_Cx"	"sigma_Cy"	"sigma_Cz"	"sigma_Ixx"	"sigma_Iyy"	"sigma_Izz"	"sigma_Ixy"	"sigma_Ixz"	"sigma_Iyz"
"C.1"	NA	"System 1"	"-"	635.660191578781	0.331814790773724	1.36614630252768	-0.663191831259287	4250838.37454905	4135081.31698206	4387869.58197917	-36939.7094602491	-5703.63480982826	-41942.7788899737	FALSE	10.2947890040532	1.38185549960904	1.40753067557403	1.3946882707679	138446.949366323	137009.710203942	139073.034944042	64821.4596995634	63906.7682811773	64024.2155438686
"C.1.1"	"C.1"	"Segment 1"	"-"	372.387816410575	2.7823659620099	2.27331548123272	-2.04800468362578	2585081.27288153	2468902.68387731	2586058.07251799	-85117.5500357694	-37973.2138592197	-24491.1382845102	FALSE	7.81430885879137	1.78219444423393	1.8419044830939	1.82975637170971	108001.615320348	103675.008162468	106413.036201441	49791.5499084391	48317.5354202343	50123.7849691369
"C.1.2"	"C.1"	"Segment 2"	"-"	263.272375168206	-3.13438784091515	0.0829932586235864	1.29556830793338	1663292.93117594	1659055.02889626	1795672.21191546	50176.6309467554	29218.3834617901	-18581.1622525778	FALSE	6.70218305460164	2.18267542400985	2.18172444761358	2.15336586506583	86550.5149648669	89376.70282065	89372.2143101081	41411.674257037	41722.0191086564	39794.8072586518
"C.1.1.1"	"C.1.1"	"Element 1"	"-"	45.2362454199682	0.644957561576304	3.40672797200161	2.50488501912685	320437.392092444	303359.22223978	307896.116234847	11813.85332152	12051.3838990596	-7007.88901687344	FALSE	2.69766966808847	4.98463755376245	5.14322299517815	5.28877590865484	38638.9910334083	37230.7637823487	35394.5774719913	16898.6281862517	17683.9484826033	18016.6333119966
"C.1.1.2"	"C.1.1"	"Element 2"	"-"	83.9116151280915	1.79794536857423	-0.580336195206843	-7.36753648509872	604189.223441701	568712.378707494	580609.900787405	2170.7870771153	-48654.5189272135	-26282.5362403547	FALSE	3.71510518761768	3.74560941624804	3.84526308100517	3.83482219383956	49136.5649092891	48814.5395065289	49341.144017915	23321.3414559007	22902.1621303269	23398.2008530495
"C.1.1.3"	"C.1.1"	"Element 3"	"-"	123.272571470306	6.41364202879746	1.63215490793529	-2.66741822761287	872296.759013346	815356.633439315	860561.985370047	-60933.818719043	5139.94433920073	7778.84043087131	FALSE	4.53624702212429	3.08963730283857	3.25408820353692	3.20188844661245	64307.6790421077	59394.6156063152	61878.0283048426	28826.8840979177	27561.5032323398	29301.6310039325
"C.1.1.4"	"C.1.1"	"Element 4"	"-"	119.967384392209	0.54555729183896	4.50076012827676	0.592476070362149	782574.670905381	774764.841692992	833089.036897491	-38926.9641403281	-7496.64781101077	3282.21321544428	FALSE	4.40527612093334	3.17793841296275	3.23997934871674	3.19609593113379	59947.7712108094	58473.0475933222	61552.4789491838	28528.641439669	27011.9381533979	27835.8738018354
"C.1.2.1"	"C.1.2"	"Element 5"	"-"	97.1285719173024	2.22453773132664	-4.18310552712155	-2.67202649159706	575753.162808642	594699.797569809	658365.102438563	-8094.27469775042	16633.8788557832	-30339.7493882926	FALSE	3.92317836989481	3.54110977956139	3.47911128546544	3.49138506899601	49715.1560081668	52835.9194244848	53243.3970762047	25090.214341019	24823.7912444082	22600.4202316829
"C.1.2.2"	"C.1.2"	"Element 6"	"-"	46.0125465888847	-23.9286608143994	-6.13818202403805	-4.35777235685651	302641.247823569	282354.062437703	273741.595063545	3625.3177324483	6155.09572876693	-5803.38272588724	FALSE	2.9352679658496	5.17693772737295	5.27784080543363	5.33036463578147	36925.3771582453	38145.432926458	35982.3352088411	16268.5751893786	18063.7357819452	17049.637950837
"C.1.2.3"	"C.1.2"	"Element 7"	"-"	120.131256662019	0.497411894260762	5.91504912581369	6.66878619878115	770796.067012037	751263.469048441	831661.197830694	60921.9509431695	12117.6543016879	24588.8055162682	FALSE	4.57297836688914	3.23177093786605	3.28180702411487	3.1711573271367	59878.9368563257	59901.4905691446	60807.4120370192	27933.3826345931	27546.6655817007	27651.3064751504
